hip,ra,dec,mag,name
1,101.287,-16.716,-1.46,Sirius
2,95.987,-52.696,-0.72,Canopus
3,219.9,-60.833,-0.27,Alpha Centauri
4,213.915,19.182,-0.05,Arcturus
5,279.234,38.784,0.03,Vega
6,79.172,45.998,0.08,Capella
7,78.634,-8.202,0.12,Rigel
8,114.825,5.225,0.34,Procyon
9,24.428,-57.236,0.46,Achernar
10,88.793,7.407,0.5,Betelgeuse
11,210.956,-60.373,0.61,Hadar
12,297.695,8.868,0.76,Altair
13,186.65,-63.099,0.77,Acrux
14,68.98,16.509,0.87,Aldebaran
15,201.298,-11.161,0.98,Spica
16,247.352,-26.432,1.06,Antares
17,116.329,28.026,1.16,Pollux
18,344.413,-29.622,1.17,Fomalhaut
19,310.358,45.28,1.25,Deneb
20,152.093,11.967,1.35,Regulus
21,0.0,0.0,10.0,Unknown
22,0.0,0.0,10.0,Unknown
23,0.0,0.0,10.0,Unknown
24,0.0,0.0,10.0,Unknown
25,0.0,0.0,10.0,Unknown
26,0.0,0.0,10.0,Unknown
27,0.0,0.0,10.0,Unknown
28,0.0,0.0,10.0,Unknown
29,0.0,0.0,10.0,Unknown
30,0.0,0.0,10.0,Unknown
31,0.0,0.0,10.0,Unknown
32,0.0,0.0,10.0,Unknown
33,0.0,0.0,10.0,Unknown
34,0.0,0.0,10.0,Unknown
35,0.0,0.0,10.0,Unknown
36,0.0,0.0,10.0,Unknown
37,0.0,0.0,10.0,Unknown
38,0.0,0.0,10.0,Unknown
39,0.0,0.0,10.0,Unknown
40,0.0,0.0,10.0,Unknown
41,0.0,0.0,10.0,Unknown
42,0.0,0.0,10.0,Unknown
43,0.0,0.0,10.0,Unknown
44,0.0,0.0,10.0,Unknown
45,0.0,0.0,10.0,Unknown
46,0.0,0.0,10.0,Unknown
47,0.0,0.0,10.0,Unknown
48,0.0,0.0,10.0,Unknown
49,0.0,0.0,10.0,Unknown
50,0.0,0.0,10.0,Unknown
51,0.0,0.0,10.0,Unknown
52,0.0,0.0,10.0,Unknown
53,0.0,0.0,10.0,Unknown
54,0.0,0.0,10.0,Unknown
55,0.0,0.0,10.0,Unknown
56,0.0,0.0,10.0,Unknown
57,0.0,0.0,10.0,Unknown
58,0.0,0.0,10.0,Unknown
59,0.0,0.0,10.0,Unknown
60,0.0,0.0,10.0,Unknown
61,0.0,0.0,10.0,Unknown
62,0.0,0.0,10.0,Unknown
63,0.0,0.0,10.0,Unknown
64,0.0,0.0,10.0,Unknown
65,0.0,0.0,10.0,Unknown
66,0.0,0.0,10.0,Unknown
67,0.0,0.0,10.0,Unknown
68,0.0,0.0,10.0,Unknown
69,0.0,0.0,10.0,Unknown
70,0.0,0.0,10.0,Unknown
71,0.0,0.0,10.0,Unknown
72,0.0,0.0,10.0,Unknown
73,0.0,0.0,10.0,Unknown
74,0.0,0.0,10.0,Unknown
75,0.0,0.0,10.0,Unknown
76,0.0,0.0,10.0,Unknown
77,0.0,0.0,10.0,Unknown
78,0.0,0.0,10.0,Unknown
79,0.0,0.0,10.0,Unknown
80,0.0,0.0,10.0,Unknown
81,0.0,0.0,10.0,Unknown
82,0.0,0.0,10.0,Unknown
83,0.0,0.0,10.0,Unknown
84,0.0,0.0,10.0,Unknown
85,0.0,0.0,10.0,Unknown
86,0.0,0.0,10.0,Unknown
87,0.0,0.0,10.0,Unknown
88,0.0,0.0,10.0,Unknown
89,0.0,0.0,10.0,Unknown
90,0.0,0.0,10.0,Unknown
91,0.0,0.0,10.0,Unknown
92,0.0,0.0,10.0,Unknown
93,0.0,0.0,10.0,Unknown
94,0.0,0.0,10.0,Unknown
95,0.0,0.0,10.0,Unknown
96,0.0,0.0,10.0,Unknown
97,0.0,0.0,10.0,Unknown
98,0.0,0.0,10.0,Unknown
99,0.0,0.0,10.0,Unknown
100,0.0,0.0,10.0,Unknown
